window_start,window_end,src_ip,dst_ip,src_port,dst_port,protocol,packet_count,avg_packet_size,std_packet_size,min_packet_size,max_packet_size,total_bytes,unique_destinations,unique_destination_ports,unique_source_ports,protocol_count,flow_duration,packets_per_second,syn_count,syn_ratio,rst_count,rst_ratio,ssh_packet_count,ssh_ratio,avg_interarrival_time,std_interarrival_time,max_packets_per_second,source_file,attack_type
2026-06-22T23:48:40+00:00,2026-06-22T23:48:49.973479033+00:00,23.222.17.229,172.16.46.135,443,47646,TCP,3,60.0,0.0,60,60,180,1,3,1,1,6.1e-05,3.0,0,0.0,0,0.0,0,0.0,3.09945e-05,3.00415e-05,3,normal_01.pcap,normal
2026-06-22T23:48:40+00:00,2026-06-22T23:48:41.619391918+00:00,34.120.208.123,172.16.46.135,443,37742,TCP,13,167.69230769230768,216.38938713325413,60,703,2180,1,1,1,1,0.209434,13.0,1,0.07692307692307693,0,0.0,0,0.0,0.0174529155,0.03425145037602433,13,normal_01.pcap,normal
2026-06-22T23:48:40+00:00,2026-06-22T23:48:49.758127928+00:00,34.120.237.76,172.16.46.135,443,57010,TCP,22,266.1818181818182,646.4561882338083,60,3139,5856,1,1,1,1,9.102409,2.4169425917908107,1,0.045454545454545456,0,0.0,0,0.0,0.4334480876190475,1.9085834566375552,19,normal_01.pcap,normal
2026-06-22T23:48:40+00:00,2026-06-22T23:48:43.682924032+00:00,64.233.178.119,172.16.46.135,443,51382,TCP,14,523.0714285714286,1445.2824471503197,60,5703,7323,1,1,1,1,2.20704,6.343337683050601,1,0.07142857142857142,0,0.0,0,0.0,0.16977231315384617,0.5569774307683386,11,normal_01.pcap,normal
2026-06-22T23:48:40+00:00,2026-06-22T23:48:42.517252921+00:00,64.233.178.84,172.16.46.135,443,37930,TCP,17,712.8235294117648,1211.9994775427972,60,4000,12118,1,1,1,1,0.45736,17.0,1,0.058823529411764705,0,0.0,0,0.0,0.02858500175,0.046261301929384185,17,normal_01.pcap,normal
2026-06-22T23:48:40+00:00,2026-06-22T23:48:42.216835976+00:00,64.233.178.94,172.16.46.135,443,58548,TCP,9,565.3333333333334,1219.5644942173233,60,3973,5088,1,1,1,1,0.159962,9.0,1,0.1111111111111111,0,0.0,0,0.0,0.019995361625,0.03430206523097753,9,normal_01.pcap,normal
2026-06-22T23:48:50+00:00,2026-06-22T23:48:58.166157007+00:00,150.171.22.12,172.16.46.135,443,35124,TCP,1,60.0,0.0,60,60,60,1,1,1,1,0.0,1.0,0,0.0,0,0.0,0,0.0,0.0,0.0,1,normal_01.pcap,normal
2026-06-22T23:48:50+00:00,2026-06-22T23:48:58.867862940+00:00,172.16.46.135,172.16.46.2,57010,443,UDP,69,458.6521739130435,539.4854452936426,54,1294,31647,12,2,43,2,8.2135,8.400803555122664,0,0.0,0,0.0,0,0.0,0.12078677907352942,0.29338849429735747,16,normal_01.pcap,normal
2026-06-22T23:48:50+00:00,2026-06-22T23:48:58.876064062+00:00,172.16.46.2,172.16.46.135,53,32774,UDP,30,124.36666666666666,50.30340169632887,70,272,3731,1,30,1,1,8.214199,3.652212467703789,0,0.0,0,0.0,0,0.0,0.2832482436551725,0.6744340030572384,6,normal_01.pcap,normal
2026-06-22T23:48:50+00:00,2026-06-22T23:48:57.954530001+00:00,34.120.237.76,172.16.46.135,443,57010,TCP,23,97.1304347826087,50.935854244697325,60,169,2234,1,1,1,1,7.2765509999999995,3.160838149832249,0,0.0,0,0.0,0,0.0,0.33075231859090903,0.5489557249871075,5,normal_01.pcap,normal
